book_id,author,translator,publisher
15849,,,طاقچه
48620,اروین  د. یالوم,,کتاب‌های صوتی کتابسرای نیک
48622,,,ماهنامه اندیشه پویا
15856,,,کلیک
48624,عبداللطیف طسوجی,,نشر ارس
15859,آنیلا یافه,بهروز ذکا,بنگاه ترجمه و نشر کتاب پارسه
15860,جمال الدین اکرمی,,به نشر
15861,سیدحسین هوشی‌سادات,,نشر نارگل
48628,آنا گاوالدا,مجتبی مسافری‌نژاد,آوانامه
15867,حسین نیری,,نشر ستاره‌ها
15868,سرور کتبی,,به نشر
48635,جورج سمیویل  کلاسون,,سبکتو
15879,,,روزنامه جوان
48649,عبداللطیف طسوجی,جلال نوع‌پرست,سبکتو
48652,هلن فیشر,بهاره دادرس,ناشر مؤلف
15889,مجید راستی,,به نشر
48657,امی ب. هریس,اسماعیل فصیح,نشر نو
48658,اریک برن,اسماعیل فصیح,نشر نو
15892,سوزان  کارل. آر. ان,عفت حیدری,بهار سبز
15894,محمد بهنام فر,,به نشر
15895,سرور کتبی,,به نشر
48662,تامس هاردی,ابراهیم یونسی,نشر نو
48663,تامس هاردی,ابراهیم یونسی,نشر نو
48665,براین مگی,مجتبی عبدالله نژاد,نشر نو
48667,,,تناسب
15900,آگاتا کریستی,سپیده حبیبی,موسسه موسسه نگارش الکترونیک کتاب (ماناکتاب)
15907,مریم فلاح,,نشر گل‌واژه
15910,سید محسن  میرمحمد میگونی,,نشر گل‌واژه
15912,,,انتشارات شبکه
15913,,,تماشاگران امروز
48684,,,مجله فرم و نقد
48691,جمال پورمینه,,ناشر مؤلف
15932,لئو تولستوی,نسرین مجیدی,نشر روزگار نو
15933,سنت آگوستین,مرضیه  خسروی,نشر روزگار نو
15934,توماس.  د کوئین,مرضیه  خسروی,نشر روزگار نو
15935,رضا کیانیان,,نشر مشکی
15936,بیل فارل,بهزاد پزشکی,انتشارات نسل نواندیش
15937,پاتریسیا مک‌کیساک,منا فخیم,انتشارات محراب قلم
15938,زهره طاهرخانی,,انتشارات نشانه
48708,علیرضا جلالی فراهانی,,کتاب‌های صوتی کتابسرای نیک
48709,آنا گاوالدا,نرگس خامه‌ای,آوانامه
